DATE,GROSS SALES,OVER,SHORT,file_name,month,year
3,2884.75,0.25,0.0,festival kiosk.xls,4,2019
4,3252.5,0.0,0.0,festival kiosk.xls,4,2019
5,13464.0,0.0,299.0,festival kiosk.xls,4,2019
6,4825.0,0.0,0.0,festival kiosk.xls,4,2019
7,3692.5,0.0,0.0,festival kiosk.xls,4,2019
8,3092.5,0.0,0.0,festival kiosk.xls,4,2019
9,8019.0,0.0,0.5,festival kiosk.xls,4,2019
10,8880.0,0.0,0.0,festival kiosk.xls,4,2019
11,3070.0,0.0,0.0,festival kiosk.xls,4,2019
12,5616.5,0.0,0.0,festival kiosk.xls,4,2019
13,6255.0,0.0,0.0,festival kiosk.xls,4,2019
14,9352.5,0.0,0.0,festival kiosk.xls,4,2019
15,4173.5,0.0,0.0,festival kiosk.xls,4,2019
16,10867.5,0.0,0.0,festival kiosk.xls,4,2019
17,4036.0,4.0,0.0,festival kiosk.xls,4,2019
18,0.0,0.0,0.0,festival kiosk.xls,4,2019
19,0.0,0.0,0.0,festival kiosk.xls,4,2019
20,7360.25,0.0,0.0,festival kiosk.xls,4,2019
21,4083.5,0.0,0.0,festival kiosk.xls,4,2019
22,3701.5,0.0,0.0,festival kiosk.xls,4,2019
23,2882.5,0.0,0.0,festival kiosk.xls,4,2019
24,2456.0,0.0,0.0,festival kiosk.xls,4,2019
25,4494.0,0.0,0.0,festival kiosk.xls,4,2019
26,6507.5,0.0,0.0,festival kiosk.xls,4,2019
27,3914.5,0.0,0.0,festival kiosk.xls,4,2019
28,5885.0,0.0,0.0,festival kiosk.xls,4,2019
29,17500.5,0.0,0.0,festival kiosk.xls,4,2019
30,9317.5,0.0,0.0,festival kiosk.xls,4,2019
1,5956.5,0.0,0.0,festival kiosk.xls,5,2019
2,1442.5,0.0,0.0,festival kiosk.xls,5,2019
3,8270.0,0.0,0.0,festival kiosk.xls,5,2019
4,15515.0,0.0,0.0,festival kiosk.xls,5,2019
5,7780.0,0.0,0.0,festival kiosk.xls,5,2019
6,5193.5,0.0,0.0,festival kiosk.xls,5,2019
7,5070.0,0.0,0.0,festival kiosk.xls,5,2019
8,140.0,0.0,0.0,festival kiosk.xls,5,2019
9,5387.5,0.0,0.0,festival kiosk.xls,5,2019
10,12498.5,0.0,160.0,festival kiosk.xls,5,2019
11,19377.75,0.0,0.0,festival kiosk.xls,5,2019
12,4385.0,0.0,0.0,festival kiosk.xls,5,2019
13,4707.5,0.0,0.0,festival kiosk.xls,5,2019
14,787.5,0.0,0.0,festival kiosk.xls,5,2019
15,5845.0,0.0,0.0,festival kiosk.xls,5,2019
16,5453.5,0.23,0.0,festival kiosk.xls,5,2019
17,8455.0,0.0,0.0,festival kiosk.xls,5,2019
18,8278.0,0.0,0.0,festival kiosk.xls,5,2019
19,6810.5,0.0,0.0,festival kiosk.xls,5,2019
20,5924.5,0.0,0.0,festival kiosk.xls,5,2019
21,3620.0,0.0,0.0,festival kiosk.xls,5,2019
22,1185.0,0.0,0.0,festival kiosk.xls,5,2019
23,5820.0,0.0,0.0,festival kiosk.xls,5,2019
24,8055.25,0.0,0.25,festival kiosk.xls,5,2019
25,11913.5,0.0,0.0,festival kiosk.xls,5,2019
26,14572.0,0.0,0.0,festival kiosk.xls,5,2019
27,3370.0,0.0,0.0,festival kiosk.xls,5,2019
28,7533.0,0.0,0.0,festival kiosk.xls,5,2019
29,2008.5,0.0,0.0,festival kiosk.xls,5,2019
30,3362.5,0.0,0.0,festival kiosk.xls,5,2019
31,6102.0,0.0,0.0,festival kiosk.xls,5,2019
1,10316.0,0.0,0.0,festival kiosk.xls,6,2019
2,11011.0,0.0,0.0,festival kiosk.xls,6,2019
3,3780.0,0.0,0.0,festival kiosk.xls,6,2019
4,7964.0,0.0,0.0,festival kiosk.xls,6,2019
5,7472.5,0.0,0.0,festival kiosk.xls,6,2019
6,3640.0,0.0,0.0,festival kiosk.xls,6,2019
7,3880.0,0.0,0.0,festival kiosk.xls,6,2019
8,11988.25,0.0,0.0,festival kiosk.xls,6,2019
9,8354.0,0.0,0.0,festival kiosk.xls,6,2019
10,9047.5,0.0,0.0,festival kiosk.xls,6,2019
11,2761.0,0.0,0.0,festival kiosk.xls,6,2019
12,8852.45,0.05,0.0,festival kiosk.xls,6,2019
13,5585.5,0.0,0.0,festival kiosk.xls,6,2019
