COST,GROSS PROFIT,GROSS SALES,file_name,month,year
95903.3,127374.46999999999,223277.77,sm molino boutique.xls,8,2019
81987.0,113475.75,195462.75,sm molino boutique.xls,9,2019
116686.64,149695.36,266382.0,sm molino boutique.xls,10,2019
99927.38,132356.87,232284.25,sm molino boutique.xls,11,2019
284040.86,371155.79000000004,655196.65,sm molino boutique.xls,12,2019
38739.79,60502.21,99242.0,pacific mall-legazpi.xls,1,2019
36131.93,53850.57,89982.5,pacific mall-legazpi.xls,2,2019
50393.93,77538.07,127932.0,pacific mall-legazpi.xls,3,2019
39257.5,64201.0,103458.5,pacific mall-legazpi.xls,4,2019
57444.67,87882.83,145327.5,pacific mall-legazpi.xls,5,2019
34592.15,55821.35,90413.5,pacific mall-legazpi.xls,6,2019
33969.46,54945.29,88914.75,pacific mall-legazpi.xls,7,2019
29220.34,45302.16,74522.5,pacific mall-legazpi.xls,8,2019
28305.04,42392.46,70697.5,pacific mall-legazpi.xls,9,2019
62595.87,81685.63,144281.5,pacific mall-legazpi.xls,10,2019
60383.9,78763.1,139147.0,pacific mall-legazpi.xls,11,2019
134043.6,181006.28,315049.88,pacific mall-legazpi.xls,12,2019
44243.16,67710.59,111953.75,sm southmall.xls,1,2019
49398.28,71632.22,121030.5,sm southmall.xls,2,2019
53270.73,71073.01999999999,124343.75,sm southmall.xls,3,2019
41075.14,61649.11,102724.25,sm southmall.xls,4,2019
48501.27,78348.23000000001,126849.5,sm southmall.xls,5,2019
52599.51,84141.62,136741.13,sm southmall.xls,6,2019
46324.24,69152.68,115476.91999999998,sm southmall.xls,7,2019
42061.09,63805.16,105866.25,sm southmall.xls,8,2019
38953.12,64248.27999999999,103201.4,sm southmall.xls,9,2019
46629.71,63176.189999999995,109805.9,sm southmall.xls,10,2019
88185.35,115009.65,203195.0,sm southmall.xls,11,2019
209273.36,277625.75,486899.11,sm southmall.xls,12,2019
64131.17,91094.83,155226.0,pacific mall-lucena.xls,1,2019
48642.15,74153.35,122795.5,pacific mall-lucena.xls,2,2019
67047.27,98543.98,165591.25,pacific mall-lucena.xls,3,2019
66009.25,100073.9,166083.15,pacific mall-lucena.xls,4,2019
89962.47,136861.03,226823.5,pacific mall-lucena.xls,5,2019
74958.09,112778.41,187736.5,pacific mall-lucena.xls,6,2019
91899.39,133850.61,225750.0,pacific mall-lucena.xls,7,2019
91598.34,131412.91,223011.25,pacific mall-lucena.xls,8,2019
65085.98,104720.26999999999,169806.25,pacific mall-lucena.xls,9,2019
83524.06,115480.94,199005.0,pacific mall-lucena.xls,10,2019
104885.81,119637.94,224523.75,pacific mall-lucena.xls,11,2019
211299.1,273727.9,485027.0,pacific mall-lucena.xls,12,2019
51172.55,69185.45,120358.0,rob.dasma.xls,1,2019
45945.2,63637.05,109582.25,rob.dasma.xls,2,2019
42825.61,62459.14,105284.75,rob.dasma.xls,3,2019
42351.43,65217.82,107569.25,rob.dasma.xls,4,2019
65827.52,100225.23,166052.75,rob.dasma.xls,5,2019
57990.75,84890.0,142880.75,rob.dasma.xls,6,2019
56988.81,79410.56,136399.37,rob.dasma.xls,7,2019
51582.18,81560.82,133143.0,rob.dasma.xls,8,2019
45609.97,73290.91,118900.88,rob.dasma.xls,9,2019
47625.51,65612.48999999999,113238.0,rob.dasma.xls,10,2019
45557.59,66849.41,112407.0,rob.dasma.xls,11,2019
151051.61,191627.39,342679.0,rob.dasma.xls,12,2019
86953.79,114899.96,201853.75,sm sangandaan.xls,1,2019
88388.38,120755.62,209144.0,sm sangandaan.xls,2,2019
118039.49,155124.29000000004,273163.78,sm sangandaan.xls,3,2019
106053.69,137261.06,243314.75,sm sangandaan.xls,4,2019
105034.68,133343.75,238378.43,sm sangandaan.xls,5,2019
90650.14,129149.36,219799.5,sm sangandaan.xls,6,2019
73337.56,96984.94,170322.5,sm sangandaan.xls,7,2019
97130.94,127324.34,224455.28,sm sangandaan.xls,8,2019
80820.92,110436.98,191257.9,sm sangandaan.xls,9,2019
102647.7,135456.8,238104.5,sm sangandaan.xls,10,2019
125314.7,150808.3,276123.0,sm sangandaan.xls,11,2019
352472.2,464293.55,816765.75,sm sangandaan.xls,12,2019
99712.35,138949.9,238662.25,waltermart north edsa.xls,1,2019
82550.07,109592.18,192142.25,waltermart north edsa.xls,2,2019
72414.58,100706.67,173121.25,waltermart north edsa.xls,3,2019
79434.41,114927.47,194361.88,waltermart north edsa.xls,4,2019
77279.89,111428.61,188708.5,waltermart north edsa.xls,5,2019
68692.28,96033.47,164725.75,waltermart north edsa.xls,6,2019
59996.26,87539.25,147535.51,waltermart north edsa.xls,7,2019
81321.84,113266.04000000001,194587.88,waltermart north edsa.xls,8,2019
73001.32,107715.33999999997,180716.65999999997,waltermart north edsa.xls,9,2019
64605.19,93840.97,158446.16,waltermart north edsa.xls,10,2019
93988.74,112463.56000000001,206452.30000000002,waltermart north edsa.xls,11,2019
211472.75,286449.97000000003,497922.72000000003,waltermart north edsa.xls,12,2019
96186.02,143267.97999999998,239454.0,gaisano ilustre.xls,1,2019
67412.22,93568.28,160980.5,gaisano ilustre.xls,2,2019
85217.65,119051.85,204269.5,gaisano ilustre.xls,3,2019
86021.44,122839.06,208860.5,gaisano ilustre.xls,4,2019
106322.7,143043.8,249366.5,gaisano ilustre.xls,5,2019
91155.37,134156.63,225312.0,gaisano ilustre.xls,6,2019
83019.15,130955.23000000001,213974.38,gaisano ilustre.xls,7,2019
95114.62,140372.63,235487.25,gaisano ilustre.xls,8,2019
101752.31,142529.00999999998,244281.31999999998,gaisano ilustre.xls,9,2019
99625.81,134774.94,234400.75,gaisano ilustre.xls,10,2019
134135.87,163915.13,298051.0,gaisano ilustre.xls,11,2019
320822.28,408138.28,728960.56,gaisano ilustre.xls,12,2019
217047.65,300306.43000000005,517354.08,kcc gensan.xls,1,2019
222594.96,309725.05000000005,532320.01,kcc gensan.xls,2,2019
311776.65,430077.3600000001,741854.0100000001,kcc gensan.xls,3,2019
313334.11,449159.52,762493.63,kcc gensan.xls,4,2019
370274.28,555294.42,925568.7000000001,kcc gensan.xls,5,2019
283373.17,418163.4000000001,701536.5700000001,kcc gensan.xls,6,2019
214022.57,321359.56,535382.13,kcc gensan.xls,7,2019
183514.57,251372.31999999995,434886.88999999996,kcc gensan.xls,8,2019
159702.87,226075.12000000005,385777.99000000005,kcc gensan.xls,9,2019
218273.01,292008.33999999997,510281.35,kcc gensan.xls,10,2019
327783.25,399698.20000000007,727481.4500000001,kcc gensan.xls,11,2019
603177.27,791101.3300000001,1394278.6,kcc gensan.xls,12,2019
115642.01,158654.99,274297.0,sm trece.xls,1,2019
122236.04,155694.21000000002,277930.25,sm trece.xls,2,2019
111227.31,146545.19,257772.5,sm trece.xls,3,2019
79361.38,113299.12,192660.5,sm trece.xls,4,2019
131613.98,186150.65,317764.63,sm trece.xls,5,2019
97101.3,145705.58000000002,242806.88,sm trece.xls,6,2019
93953.4,134762.6,228716.0,sm trece.xls,7,2019
91324.62,123663.13,214987.75,sm trece.xls,8,2019
76365.92,110970.7,187336.62,sm trece.xls,9,2019
105229.39,131297.11,236526.5,sm trece.xls,10,2019
127966.83,155594.91999999998,283561.75,sm trece.xls,11,2019
315546.36,409963.89,725510.25,sm trece.xls,12,2019
58108.84,74262.16,132371.0,rob.lipa.xls,1,2019
54468.31,77973.19,132441.5,rob.lipa.xls,2,2019
53523.3,69942.2,123465.5,rob.lipa.xls,3,2019
35799.78,57040.22,92840.0,rob.lipa.xls,4,2019
62642.73,99395.76999999999,162038.5,rob.lipa.xls,5,2019
69660.57,102320.43,171981.0,rob.lipa.xls,6,2019
47065.29,73801.20999999999,120866.5,rob.lipa.xls,7,2019
41836.01,64243.49,106079.5,rob.lipa.xls,8,2019
56681.25,85596.5,142277.75,rob.lipa.xls,9,2019
61554.23,85842.51999999999,147396.75,rob.lipa.xls,10,2019
75796.14,108327.11,184123.25,rob.lipa.xls,11,2019
186784.43,251685.95,438470.38,rob.lipa.xls,12,2019
90622.9,124860.1,215483.0,n.e. pacific.xls,1,2019
96627.05,117743.2,214370.25,n.e. pacific.xls,2,2019
84502.15,111260.23000000001,195762.38,n.e. pacific.xls,3,2019
84561.86,125687.24,210249.1,n.e. pacific.xls,4,2019
91178.59,140170.29,231348.88,n.e. pacific.xls,5,2019
85187.12,125455.38,210642.5,n.e. pacific.xls,6,2019
74437.97,110252.29000000001,184690.26,n.e. pacific.xls,7,2019
60841.46,85411.20000000001,146252.66,n.e. pacific.xls,8,2019
61465.25,95195.62,156660.87,n.e. pacific.xls,9,2019
56926.54,84066.70999999999,140993.25,n.e. pacific.xls,10,2019
66020.74,89744.37999999999,155765.12,n.e. pacific.xls,11,2019
169518.93,221390.32,390909.25,n.e. pacific.xls,12,2019
47793.03,66573.22,114366.25,waltermart carmona.xls,1,2019
55729.53,74627.85,130357.38,waltermart carmona.xls,2,2019
72106.49,101173.23,173279.72,waltermart carmona.xls,3,2019
46881.77,75814.98000000001,122696.75,waltermart carmona.xls,4,2019
53237.22,79488.43,132725.65,waltermart carmona.xls,5,2019
60928.82,89095.68,150024.5,waltermart carmona.xls,6,2019
42944.39,64371.36,107315.75,waltermart carmona.xls,7,2019
49542.39,75416.36,124958.75,waltermart carmona.xls,8,2019
48251.42,77359.33,125610.75,waltermart carmona.xls,9,2019
58722.48,87707.51999999999,146430.0,waltermart carmona.xls,10,2019
66503.19,90458.82,156962.01,waltermart carmona.xls,11,2019
191206.01,260280.37,451486.38,waltermart carmona.xls,12,2019
103179.6,136433.9,239613.5,limketkai.xls,1,2019
105104.69,146506.72,251611.41,limketkai.xls,2,2019
125927.84,170289.21,296217.05,limketkai.xls,3,2019
105531.7,150324.8,255856.5,limketkai.xls,4,2019
140454.91,191597.18999999997,332052.1,limketkai.xls,5,2019
96764.18,144801.53,241565.71,limketkai.xls,6,2019
103430.74,149048.01,252478.75,limketkai.xls,7,2019
110172.24,158919.16000000003,269091.4,limketkai.xls,8,2019
100645.46,139217.78999999998,239863.25,limketkai.xls,9,2019
118378.49,161990.41000000003,280368.9,limketkai.xls,10,2019
132785.24,171975.51,304760.75,limketkai.xls,11,2019
343643.91,481396.99999999994,825040.9099999999,limketkai.xls,12,2019
133133.48,197676.13999999998,330809.62,gaisano island mactan.xls,1,2019
114624.39,153945.47999999998,268569.87,gaisano island mactan.xls,2,2019
128938.63,179268.37,308207.0,gaisano island mactan.xls,3,2019
137055.23,207139.02,344194.25,gaisano island mactan.xls,4,2019
154536.92,235289.48,389826.4,gaisano island mactan.xls,5,2019
154131.9,238687.75000000003,392819.65,gaisano island mactan.xls,6,2019
128660.15,191187.54999999996,319847.69999999995,gaisano island mactan.xls,7,2019
153007.84,213084.02,366091.86,gaisano island mactan.xls,8,2019
125469.34,184427.21000000005,309896.55000000005,gaisano island mactan.xls,9,2019
141022.22,187632.58,328654.8,gaisano island mactan.xls,10,2019
162900.46,198204.04,361104.5,gaisano island mactan.xls,11,2019
450364.49,590887.79,1041252.28,gaisano island mactan.xls,12,2019
89047.56,131407.44,220455.0,gaisano ormoc.xls,1,2019
62632.9,88916.6,151549.5,gaisano ormoc.xls,2,2019
78631.3,116069.58,194700.88,gaisano ormoc.xls,3,2019
63326.14,97236.86,160563.0,gaisano ormoc.xls,4,2019
89850.32,140081.68,229932.0,gaisano ormoc.xls,5,2019
60977.3,92767.2,153744.5,gaisano ormoc.xls,6,2019
50019.09,80691.91,130711.0,gaisano ormoc.xls,7,2019
54968.25,87134.25,142102.5,gaisano ormoc.xls,8,2019
56468.9,91555.6,148024.5,gaisano ormoc.xls,9,2019
49884.41,73087.09,122971.5,gaisano ormoc.xls,10,2019
96895.9,122912.95000000001,219808.85,gaisano ormoc.xls,11,2019
225213.22,304917.66000000003,530130.88,gaisano ormoc.xls,12,2019
80206.99,107288.01,187495.0,cash & carry.xls,1,2019
56899.8,79006.95,135906.75,cash & carry.xls,2,2019
57463.66,80947.63999999998,138411.3,cash & carry.xls,3,2019
45692.87,67169.88,112862.75,cash & carry.xls,4,2019
46579.35,72953.15,119532.5,cash & carry.xls,5,2019
